driver_reached_on,rider earliest departure time,rider latest departure time,rider request time,rider latest arrival time,distance_travelled,start_location_long,start_location_lat,end_location_lat,end_location_long,active_driver_id,requested_car_category,surge_factor
3/3/2017 17:59,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:42,3/3/2017 18:11,4186,-97.748,30.26,30.259,-97.729,491622,0,1.5
3/3/2017 17:59,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:53,3/3/2017 18:17,18421,-97.743,30.431,30.322,-97.711,491948,0,1
3/3/2017 17:57,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:52,3/3/2017 18:12,3565,-97.768,30.254,30.271,-97.748,491597,0,1.5
3/3/2017 17:59,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:56,3/3/2017 18:10,2156,-97.749,30.27,30.26,-97.738,491949,0,1
3/3/2017 17:59,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:52,3/3/2017 18:18,20547,-97.857,30.206,30.255,-97.717,491950,0,1.25
3/3/2017 17:52,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:46,3/3/2017 18:13,3961,-97.743,30.287,30.26,-97.739,491545,0,1
3/3/2017 17:59,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:54,3/3/2017 18:16,4843,-97.749,30.27,30.284,-97.747,491700,0,1
3/3/2017 18:00,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:53,3/3/2017 18:13,4321,-97.755,30.272,30.265,-97.739,491951,0,1.25
3/3/2017 18:00,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:53,3/3/2017 18:36,30160,-97.805,30.472,30.259,-97.739,491952,0,1
3/3/2017 17:59,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:57,3/3/2017 18:07,3904,-97.721,30.403,30.379,-97.73,491953,0,1
3/3/2017 17:59,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:58,3/3/2017 18:17,5021,-97.748,30.266,30.285,-97.714,491585,0,1
3/3/2017 18:00,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:59,3/3/2017 18:15,5681,-97.722,30.252,30.259,-97.759,491385,0,1
3/3/2017 18:00,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:47,3/3/2017 18:18,6776,-97.769,30.289,30.248,-97.751,491818,0,1.25
3/3/2017 18:00,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:53,3/3/2017 18:25,15149,-97.718,30.398,30.292,-97.686,491826,0,1
3/3/2017 17:59,3/3/2017 18:00,3/3/2017 18:10,3/3/2017 17:56,3/3/2017 18:06,1175,-97.742,30.269,30.262,-97.739,491954,0,1
3/3/2017 18:00,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:57,3/3/2017 18:08,2002,-97.743,30.269,30.257,-97.739,491955,0,1
3/3/2017 17:59,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:55,3/3/2017 18:13,6039,-97.747,30.275,30.266,-97.786,491637,0,1
3/3/2017 18:00,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:45,3/3/2017 18:33,12227,-97.794,30.209,30.278,-97.736,491956,0,1
3/3/2017 18:01,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:57,3/3/2017 18:09,3473,-97.709,30.252,30.257,-97.739,491957,0,1
3/3/2017 17:57,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:53,3/3/2017 18:27,6567,-97.75,30.27,30.288,-97.744,491763,0,1
3/3/2017 17:57,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:55,3/3/2017 18:15,14378,-97.753,30.308,30.404,-97.707,491958,0,1.5
3/3/2017 17:58,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:57,3/3/2017 18:07,2480,-97.754,30.3,30.3,-97.771,491959,1,1
3/3/2017 18:00,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:53,3/3/2017 18:15,6038,-97.691,30.377,30.371,-97.728,491347,0,1
3/3/2017 18:01,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:59,3/3/2017 18:18,7270,-97.709,30.313,30.27,-97.748,491861,0,1
3/3/2017 18:01,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:53,3/3/2017 18:17,5629,-97.784,30.296,30.296,-97.744,491827,0,1
3/3/2017 18:01,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:59,3/3/2017 18:13,3949,-97.755,30.249,30.279,-97.745,491588,0,1.5
3/3/2017 18:01,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:56,3/3/2017 18:05,1521,-97.764,30.274,30.269,-97.75,491913,0,1.25
3/3/2017 18:01,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:52,3/3/2017 18:19,6847,-97.774,30.245,30.269,-97.73,491809,0,1.5
3/3/2017 18:01,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 18:00,3/3/2017 18:09,3275,-97.745,30.266,30.246,-97.73,491131,0,1
3/3/2017 18:00,3/3/2017 18:01,3/3/2017 18:11,3/3/2017 17:58,3/3/2017 18:11,3117,-97.725,30.252,30.265,-97.746,491960,0,1
3/3/2017 18:01,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 17:59,3/3/2017 18:10,3427,-97.749,30.27,30.291,-97.745,491786,0,1
3/3/2017 17:58,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 17:53,3/3/2017 18:08,1793,-97.755,30.304,30.297,-97.744,491770,0,1.25
3/3/2017 18:00,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 17:57,3/3/2017 18:14,8879,-97.758,30.427,30.481,-97.787,491961,0,1
3/3/2017 18:02,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 17:57,3/3/2017 18:08,2041,-97.745,30.274,30.262,-97.739,491962,0,1
3/3/2017 18:01,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 18:01,3/3/2017 18:18,13341,-97.743,30.267,30.357,-97.684,491880,0,1
3/3/2017 18:02,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 17:52,3/3/2017 18:09,5665,-97.689,30.355,30.311,-97.715,491963,0,1
3/3/2017 18:01,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 17:53,3/3/2017 18:48,41000,-97.667,30.203,30.337,-97.82,491964,0,1
3/3/2017 18:01,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 17:56,3/3/2017 18:17,7341,-97.712,30.236,30.274,-97.734,491965,0,1
3/3/2017 18:02,3/3/2017 18:02,3/3/2017 18:12,3/3/2017 17:59,3/3/2017 18:23,13822,-97.802,30.197,30.266,-97.74,491966,0,1
3/3/2017 18:01,3/3/2017 18:03,3/3/2017 18:13,3/3/2017 17:56,3/3/2017 18:22,6601,-97.727,30.305,30.264,-97.743,491967,0,1
3/3/2017 18:00,3/3/2017 18:03,3/3/2017 18:13,3/3/2017 17:54,3/3/2017 18:51,31633,-97.97,30.315,30.267,-97.738,491654,0,1
3/3/2017 18:02,3/3/2017 18:03,3/3/2017 18:13,3/3/2017 17:57,3/3/2017 18:13,4024,-97.74,30.251,30.263,-97.721,491601,0,1.5
3/3/2017 18:02,3/3/2017 18:03,3/3/2017 18:13,3/3/2017 17:59,3/3/2017 18:14,4284,-97.719,30.314,30.295,-97.742,491968,0,1
3/3/2017 18:02,3/3/2017 18:03,3/3/2017 18:13,3/3/2017 17:49,3/3/2017 18:17,9566,-97.801,30.263,30.269,-97.748,491708,0,1
3/3/2017 18:03,3/3/2017 18:03,3/3/2017 18:13,3/3/2017 17:57,3/3/2017 18:18,10842,-97.67,30.382,30.334,-97.721,491969,0,1
3/3/2017 17:56,3/3/2017 18:03,3/3/2017 18:13,3/3/2017 17:47,3/3/2017 18:17,3757,-97.766,30.296,30.288,-97.748,491970,0,1.25
3/3/2017 18:01,3/3/2017 18:04,3/3/2017 18:14,3/3/2017 17:58,3/3/2017 18:18,5996,-97.764,30.237,30.278,-97.736,491732,0,1.5
3/3/2017 18:04,3/3/2017 18:04,3/3/2017 18:14,3/3/2017 17:59,3/3/2017 18:41,30589,-97.737,30.37,30.37,-97.738,491971,0,1
3/3/2017 18:04,3/3/2017 18:04,3/3/2017 18:14,3/3/2017 18:02,3/3/2017 18:21,6791,-97.716,30.31,30.258,-97.739,491784,0,1
3/3/2017 18:03,3/3/2017 18:04,3/3/2017 18:14,3/3/2017 17:53,3/3/2017 18:26,16900,-97.667,30.202,30.262,-97.743,491972,0,1
3/3/2017 18:03,3/3/2017 18:04,3/3/2017 18:14,3/3/2017 17:51,3/3/2017 18:27,12690,-97.668,30.203,30.268,-97.742,491973,0,1
3/3/2017 18:03,3/3/2017 18:04,3/3/2017 18:14,3/3/2017 17:59,3/3/2017 18:23,9197,-97.795,30.231,30.281,-97.741,491974,0,1
